surname,g1,g2,dob,sex,age_group,cause_of_absence,Num_missing,age_first,age_last,missing_period,missing_per_year,clothes,coat_color1,coat_type,date_last_seen,date_located,dress_type,hand,hat_type,hat_color1,jewelry_type,missing_before,place_last_seen,pants_type,place_located,previously_found,shoes_type,shirt_type,skirt_type,young_offender,cyber_crime_type,demage_total,detail_count,district,down_time,durg_alcohol,drugs_total,family_violence,follow_up_count,founded,fraud_type,gang_involvement,gang_type,hate_crime_ind,how_method,location,location_code,loss_total,object_of_theft1,object_of_theft2,object_of_theft3,object_of_theft4,object_of_theft5,occ_date,occ_name,occ_time,occupancy_code,person_count,person_target,place_name,recovered_total,unident_count,vehicle_count,vehicle_target,vehicle_type,viclas_flag,violation_count,weapon_status,weapon_type,week_day,x_coordinate,y_coordinate,zone,caution,citizenship,build,complexion,country_of_birth,disability,drivers_license,employer,eye_color,facial_hair,facial_hair_color,gang_name,hair_color,hair_style,height,language,marital_status,occupation,race,weight
Lillith,01561,26790,"September 1st, 2016",1,0,24013995,41,7,11,21,48,68858,52063,01631,"October 21st, 2015","March 1st, 2019",21970,18194,15773,45370,98388,3,96639,HFOMB,BFFTN,ZEFZA,POBFQ,GUJFT,XIUJQ,UYEBS,FJYHY,QLLLL,OWJPD,HNTWE,BLSDG,KNRDE,ADIRE,VCBMJ,1,PJGPT,GUJKD,GEYXY,VXITL,SNYHV,SBDVD,JTUXK,WKQMS,XJQEU,LVZSR,EFOVI,DHLKI,TFIRQ,QEOFZ,MDZMO,NTJQQ,FJLAZ,XSSMC,XCGKO,XXULV,XVSUE,LUDNF,MRPZE,XQNLR,ZGYKP,VRUXA,VQTHK,PVACX,HDFPH,IVAJO,GFLOS,RAEDH,FUQTH,ZUTWQ,ZWMKC,UNAGN,NFMYD,ESFLD,SYUEC,TMBQH,YXRPH,UBLQC,CVMIG,XJIIS,LUZMV,orange,ETMSB,ATRCD,874,DZEXA,ABUSO,OSVRV,CHKBB,DAPAI
Shoshana,66114,33220,"September 20th, 2016",1,0,19497305,1,1,19,29,31,31967,65351,70591,"April 9th, 2015","September 15th, 2018",56629,98064,52558,41286,88150,4,23514,JNZCJ,ICHEE,NAJHT,GDYCR,HRKJT,SEZMI,ZRIXC,ZEZDD,YTNAP,VSACJ,ZXWSJ,YZEOF,HCOBC,BSKAO,VTCVL,7,EAWRD,ANNIY,NZDDW,FDHTW,EFIWF,SPVLO,PYNPB,AANVB,ECHTU,MFHQS,YPOLU,KRYQF,BUNMY,UWXCJ,PCPYS,FCWXF,YYLZH,SEISV,QZXOH,KZYCQ,BIAMX,HAUPE,RRQCE,EFZOL,WUSYO,EYOWN,UAGQH,YGBKJ,ZNWVT,JCIXS,BLSQO,QPTQU,LFNOM,CEDOM,BWKYT,HQGNO,COFWY,LBMPF,LCBPR,QYEIS,CPCED,UCFLU,LVCLY,RHTJI,OWEVV,orange,ZTMVB,IKBVI,869,PNBHX,JHLHO,MIZVR,DXLZK,XRNBS
Brock,13308,05137,"March 23rd, 2017",0,0,02366690,0,9,19,6,12,56804,71000,78963,"July 30th, 2015","September 29th, 2015",41428,38813,63399,65658,85373,9,93976,BSDTL,YMIFZ,LZAYQ,YXUUO,TBKNU,NMXFC,WHOOZ,SXOTN,RSSTP,VEEOJ,FNDCG,TPXKV,HXBOC,WSVYU,REQWE,4,HXSPN,VSVRS,KMHVC,JGVAV,IOYXQ,QYAAL,IQWMO,LNJZC,YXCHV,AGIWM,RYQWK,YSAHY,DWUYT,BQQFN,OQSRJ,UUMUZ,VJLEI,UUJKV,EXNVD,QGWEI,SJTCV,DTHWN,QATML,YWAZQ,RDCPE,JHZUO,NCCEL,LMNQV,MXSBA,TMAHZ,IKVMM,VYMXD,YSBVR,BSOKZ,HRKVD,OCYUQ,UHOHV,FQBUL,GMQTZ,UZBTO,JZRVA,RLRXA,THCIA,HNNZM,VKPNI,violet,GAKZR,WZSSV,709,MBMDB,EGDXW,LFQTQ,QSOLD,YABON
Mason,56027,03918,"November 10th, 2015",1,1,50227914,8,8,19,31,17,26821,63463,36630,"September 11th, 2015","March 30th, 2017",22445,58128,39593,88611,64961,3,97489,LKFYW,AWCKB,MDHFF,LGIIH,XZJHA,YJHME,OCJYP,NPPOL,MCZJL,SRFWJ,CYFKL,FNYFT,ZIIXV,YMVBA,QKJYQ,9,CUPIK,YLKGU,RZYFF,MWHUD,SIXWJ,HAMFE,SMICD,QFQYH,BTDDP,GSCWJ,VCROA,XHYPH,JIISN,ALQRI,SLLAS,ZCTXX,DRZHR,AQJMZ,HMSBN,LORMV,KBQCE,ONBCD,QJIGB,RAAWB,FFPXA,HRXJW,VNGBC,GPJTU,JRPBU,NEYAW,KKUGF,MTNWM,UUVJY,JLDCN,VLKOL,BWRWU,ODDGI,CNICT,AKTZM,ZXWFM,ZOMXC,QAHMU,NKSKP,OGNSK,TSZUP,test,JXKWR,THYFT,026,QBZHP,TBHJP,LFXKF,UTGMU,QEYIW
Hamish,61155,77451,"February 1st, 2016",1,3,75831722,32,1,20,11,30,06874,21559,33324,"June 4th, 2018","November 25th, 2015",15553,07591,94381,47539,00193,6,70710,WJPTW,LBJVE,HCYIM,ZGUSX,TDKYC,ZUVNF,WMPBS,AACMF,GUJCD,LDDEU,DSDOU,QREEC,RXIXC,TDXGR,FAWQP,2,FZZNL,BPBPZ,ZPZBP,LCWNM,QPSEM,XTHKQ,PEQWH,HAHBV,IVQXU,FMJJI,XADOL,MBPQI,SKHEE,FEUNN,JGUPT,QGTYQ,CGGWM,ENHXC,RWWKU,EKGZX,MOVGC,RLKFR,NHVYR,DVNQL,WHNTS,GITRW,FXGKS,STLTO,AOFNI,JULKR,OIYNL,HDPFZ,IWJPC,LFDAM,AHLLR,SQZBS,HXPKW,GVVLC,HRPUF,LRDNQ,GGQBN,KNLZW,XCXJZ,DRRST,ITVMT,,KGCBV,RQDHQ,741,JRDLK,ECRWT,CRHQP,EKPJN,EBMNM
Clementine,51864,98699,"January 24th, 2018",1,7,09803487,35,4,20,25,42,58646,73227,34336,"October 15th, 2019","August 22nd, 2016",03233,23788,45251,18534,58042,4,92550,TSPDR,XEVCR,WGMRZ,XRKHM,TUUYG,GRLGT,OOQBZ,TLKGQ,DKBNA,BUDYR,HGOIX,DWTUR,SJYIT,HXSGS,SQQTY,8,GCDIW,DARCR,ANPVE,TZHTA,PLTSL,MGVRW,QILNF,HUGCD,WDFCZ,DPHXP,GNJVH,LQROW,OXHZR,SWSWX,JXQXT,BHWSG,VCQJO,QNADR,OJJIQ,HLOAQ,NMVWB,VPVMZ,IJTTW,WMZBX,GWEPZ,RUAJX,ICVMC,FVIHJ,MAKUE,YNIEY,PDWFK,FIXFT,TBPVV,EFIYL,VQUXZ,YXDPP,VKRCX,ZQCXM,NDDJG,PERQW,XCXGB,BOWNM,FIFUT,CEOBL,RPUYF,violet,AOMED,RXBJZ,648,XQHFQ,HPKTC,CHESP,KGBRN,RLSLE
Ruth,63105,00646,"October 16th, 2017",0,8,27674394,11,10,13,50,7,94169,24568,61510,"January 31st, 2019","April 24th, 2017",63409,15198,56479,47200,35380,3,36543,VWCJL,THICT,HCOSJ,KOXDL,EWJKK,BYAZT,VMUKD,DUMXN,HBUQS,GBVWB,QMGRA,OTHPC,DPLRV,HUAAI,DPEFQ,9,LSYPV,FMOJK,MIMIZ,NFAVY,QVGNE,CHSFS,XEVXA,CAMIY,AWZKY,OEIHH,KZJYY,WYWBY,VLDRF,BOFDL,VQAED,KCJBW,ZWYBS,AQQEA,LYYDY,APRCL,QEBMR,UHYHX,RQXOI,FFVOV,ERNDP,NFNFC,IFTIO,KOYCD,SAZNZ,QDGUA,MKWOU,CWXTF,NVMYE,AYVBP,ALRVW,ZZTPR,JWELD,ZBNTC,HSCBR,TPTQO,JCDTY,RZUUH,TIXYY,DBNIK,BJDVL,violet,MWEHH,WXOMB,913,TZAAW,HVTQA,LVXGK,RGXXY,ARCJB
Indira,35577,84382,"January 7th, 2016",0,5,98776919,50,1,10,44,12,89369,09803,01542,"April 20th, 2015","September 23rd, 2019",85441,18135,27445,37964,87532,7,60552,LUYLU,ELIQJ,SWROU,NVFTZ,THUFQ,FNFZD,CINBQ,FGOCX,JIWJW,NGAFX,ILQCC,YFMHT,GKYXR,FQKIP,QKAXR,2,EIMXG,ONEMW,LQMXV,FKAOK,MEASR,UVIYD,TGGEP,EAXLT,PPETI,JZWIL,IGBBH,ZMNOC,FENRN,DYSJE,WIPXY,VAIBN,BUPJU,WFQVB,KGMEP,ZWSLV,PFFAE,BBVHH,NOVMD,NBDUJ,IUKNM,ZKOPS,KSMZX,NPPRN,SNYFB,QNRUB,RUAHP,MPUQW,GRONP,PEYNH,IKUSW,ZSBOM,AFDJY,YYXLZ,TMIVK,VBJGU,PKFNH,RXEGD,IBBGR,ZGVYP,UXWMH,orange,JVBRC,NNZEW,679,XJQCU,ZQABV,ROLAB,IUAUA,QSMKT
Kay,65927,84119,"January 8th, 2018",1,0,77692670,41,7,15,3,39,44694,72979,48159,"January 27th, 2018","April 2nd, 2017",67723,41895,03413,97083,50033,6,87558,QFCQP,FRUNY,VXNYS,ZCDJD,XEFEV,OEZCD,JKFXQ,QGKZG,ONLMP,BXXZM,UIYOZ,KBFEG,RWNJF,VSNLV,KDPJI,5,GHZHY,IDUFQ,GTLVC,IAUFV,YZXPF,XWYKP,MBLSM,IXAWR,OOPTU,ZHOSP,DDTRF,WWZLQ,FBVUH,BMTVR,BTEAL,BQPVV,ZVDDD,KKPVH,YAEXD,DIQAY,TAUSX,CJKHA,PAAOC,AAOUM,AOMIG,UIDNG,IYURD,SPEFA,VEHPE,NWJDN,TPOBY,DMJMI,VECTM,YCWNE,NKYZN,JGEFC,RELYH,VRXMY,ZECZO,KMLMB,ZFSTB,VJYOD,TWHXJ,SAUVW,PHOBW,violet,DFCAU,QTQXZ,334,NJHEV,ELWPD,CUAAR,YDLRS,IALUN
Leandra,49898,15312,"December 25th, 2015",0,3,66395802,44,8,20,23,6,57377,53483,85370,"July 7th, 2019","April 18th, 2015",54388,89980,18357,07239,03058,0,70646,NIMXB,DJEOZ,LBMGE,ZZODN,FLQNQ,LWXTO,DJLVR,OABYZ,NQCGM,EYXHP,DTQNI,RBJYU,RMHKK,LHNJX,CHALT,0,XLWED,KDNAL,GPQLR,DTUTL,XIVGW,GFFTB,XBDIP,IQWAT,UZHJP,YILDV,OOTUM,KSCEZ,VYOMS,ERRPK,LJPJI,RHKDN,IZJQF,CUWCR,WJSZW,HPJOO,JASWP,LSUGY,IXODA,OVIPE,JMHNJ,KEQIY,OXZSI,MFCAM,QHJNU,FKDZS,QACOR,RUANY,RZUYN,JSCTE,ZBQYK,DUFWD,SBVVT,IGMSS,ZYKIS,KFXIN,JBXPU,JIPBD,YFPXR,XRIMD,XZXFH,,GVJMN,RDBCD,267,NZDRR,NTOAV,PXUNB,LTYZF,JRQNJ
Kerry,73016,40008,"October 9th, 2019",1,0,39010646,29,6,16,0,19,56993,89504,24079,"May 8th, 2015","January 12th, 2018",98087,32049,73661,14571,46532,0,45233,ZBBSK,NKCOX,IBXNG,KNBEW,MVSPD,NZUYA,EBMPP,KJHKH,MCRQG,OWPXM,WFMTI,WCHOY,KBTEE,KYWSL,SXMOO,2,OQYUF,EPBMA,FRFEJ,RVUAL,REUTK,EYIOO,VIPWH,ZPCDG,JJEYD,OWNSM,VSGTV,ABWSJ,JPKND,IJNYM,QZEFM,ODEUN,GRVVH,QJSUT,JHFWW,MJAZU,JYCAM,FEYEU,COZFH,OVPIH,FUBOL,LPMMH,ZINXP,XGPVY,ETJUB,KEPPS,VIVCT,TDOZY,RHDLQ,IBHMA,PLKDS,LCLYE,FSBJM,BCABI,TEMDC,DZKIR,UMUNV,YDNFY,EZYOL,KALUV,ZAXRO,,ZGDJY,KMZYV,727,FNFNH,LAIUI,YWTCG,HFSVR,EYIYH
Karly,20426,02609,"January 18th, 2017",1,8,76433446,25,5,10,25,27,80061,70164,66455,"July 22nd, 2016","April 25th, 2019",35628,61732,21451,09964,65906,9,99279,BQWYY,IDJXG,AIGQA,LMHIL,CISBK,GZNDD,GJDLD,GPVXF,AABHQ,VHXJN,ZJPDB,GYPMO,YOLWM,XJNGH,EKNAF,1,IDSEC,TIVTL,ZRMSI,RVJVW,UGXEA,TZYNH,WGTXT,SQGXV,VUVZX,LAMON,JWSJP,HPKVM,TSAYW,TQNAF,HONAE,OFBZX,VROXL,HDHKT,FNVBA,NPESP,XHFSZ,HMLYP,WLISV,EKHVV,FADSW,YAQHX,JLDEM,PEDFD,GAWTJ,XYFIL,FRIYP,AITZB,MWGUE,SYJAY,ZLKQC,CCPAH,OEPNR,QVPIG,IVYRW,NEVCK,FRPTC,YYRPS,FUEAX,CXPSK,AFZWW,test,HKGCQ,TLOHF,995,CLGBI,RRGUD,QWRHB,MTFLA,SQJRJ
Jackson,03225,43487,"November 10th, 2019",1,4,27031072,24,2,10,36,42,19771,20393,67180,"February 28th, 2015","May 7th, 2017",02755,56031,26820,64851,23463,2,47936,NAVEB,CMNMB,LIXVW,RLIVA,KNBOE,PRBTN,ISRUP,BQIPI,LZUOZ,QZFKB,KZFTB,MBHXM,EAOPK,NYOVL,DVDTJ,3,SCFSC,LJSBM,VCSPZ,SVRNR,PWKEB,PPTCQ,RXMLR,OAWSR,WMRQX,BOYQW,ICYMA,MKUGG,GGKIC,HPYON,DWAPC,ZFKEU,RJAFW,UQVDO,OPWJE,GPFII,TETRX,ZSIRR,FAMVE,PUEDX,KBOBN,YZEBC,VXWWK,RRFIC,LRGBN,FUPEM,EWQNA,PGWTA,VNUAT,NBVWW,ATSGK,FVBIP,BFZFR,UVKSM,ADHTI,BDZDY,DXIWU,IOEAQ,YYINM,EECHN,JWMUQ,orange,RVOES,CHSFF,124,SJCHX,QNLBO,GWXPI,IAGXZ,HYBFT
Fritz,59275,02533,"August 23rd, 2017",1,0,88362213,45,7,15,1,28,79211,42485,67986,"March 19th, 2015","May 30th, 2018",35450,91297,61528,52993,36646,3,08164,IDUAJ,ZGTCT,HQWRK,YHPDH,WWNZH,QEPQN,TONKA,TRBSE,HYJNB,EYQDW,KLHOA,PVPLY,OVUGY,EYMAT,NHGSV,7,HFDCX,QDXAU,DVERP,WAIUW,OUMKV,EGOON,VUKDC,OEAEB,TNUUV,DMETC,GTDZC,QXIKU,OQEIG,HGGKE,UXFIX,VABMA,RRKYV,RJOEN,EHLZU,RIBVN,ASIYJ,WYARC,RCGEB,GNUNM,CITHH,PDTGW,MLMPK,UHTAC,UVICK,LAVZS,GDRST,HLDOJ,OGYTN,RMRRV,WBJTP,JJWZK,HDJMT,BLEVZ,YYPOT,YCOUK,QUDQZ,MHPZJ,RGHWW,OAADK,YDAOK,,QCECK,JYJUP,196,MPEBF,VOHYA,BZDXQ,OSBFN,XSOMU
Daniel,68563,17970,"November 23rd, 2015",1,9,52747094,22,1,13,41,47,26261,76080,62667,"October 21st, 2017","October 27th, 2016",41164,60903,07888,02093,71085,7,16431,OVEEC,HPDEC,IPNDM,IYFNO,KSEZM,QIFLX,PKTSC,YSWIY,WQBHN,LTQAE,JXWSU,KKBIZ,IAKWX,JMTAH,VJYDK,5,ZVDKD,MQKIN,HLRCP,ZMDRZ,UFYKD,PXXXP,OPEXZ,LMFEZ,TPOCT,DXVXK,AWVTO,UWQGZ,LIMUD,GDXSQ,FSKCE,WOLHJ,OFTDZ,MYBNU,SISUW,UKGKO,SJIRK,FHRQH,KXLPW,DHGPN,LZZIA,POBBT,OZSNY,OOAEO,MDZWO,AJDHC,LHSZR,XNWXZ,TGXRB,IKMJC,JOSPF,PAYCK,NJYCW,TPRWJ,PZESU,LGAET,ADOBT,URRXK,YRECM,TFNEH,FUJPV,test,BTYSH,YVNPT,509,BQLTI,HETCA,OVZNE,AIDPY,XBTDV
Piper,68389,20366,"June 18th, 2018",1,10,95819871,27,2,12,35,35,41721,38393,33330,"July 1st, 2016","June 12th, 2016",14927,33627,09356,51605,86244,8,65572,FPSIH,XVDJN,KPZTE,IDYOJ,DRSOC,SVREV,TCWCS,IBLWK,UDXWK,EEDKM,JOCYD,YLAKD,NIXKB,QIJEP,GKTUR,6,QDAML,SSDME,AEQOW,JPKUQ,HGKYF,QWARI,PZETI,YYSEZ,HNATF,WRYIL,HVPOW,ARXJZ,SPFKW,OFKLA,MQVPJ,NDZBJ,MCKVW,WRVQN,FPZDV,PULWH,IWDUS,TAAXN,CHMFD,SRENA,LCETL,VXOVL,ZMUXY,POAXE,OKQNN,REPTB,PNVTP,KXOIX,UKERY,PTPOT,KAAFO,DMBKI,BUFQL,RQTAU,VSMTN,XAVNB,POELT,HXVPK,PDJNX,GEMUJ,ZOLUF,violet,IRLXC,BNVII,331,JRRHI,SPXGA,NXZEV,EBSWK,KLEFS
Jordan,26082,99196,"December 13th, 2017",1,7,84215629,3,5,10,15,32,02177,54583,74449,"June 3rd, 2016","September 26th, 2019",02381,24576,28470,83043,79673,9,77663,MHAVH,AIRPF,AVDQN,FUSLN,FDXSJ,EXDCZ,FOJIN,YSENT,WABZR,TEMPV,VBXQH,ODFNM,HAVMU,GUWYO,WUHUL,3,RJSSY,CRBQS,XXZQN,HSOTI,SYDCU,OOMFU,LWQHK,RIYHW,FKKFP,SVGFW,TNQDF,UWNAZ,XVALX,BJTNT,NFZRD,PTXUO,WOHFF,KLAKN,AVIZZ,ZVQME,KXUSM,BYHZQ,BYQJT,DZYGQ,LXZRR,QTTTA,DRZJI,MEZYX,CFJJJ,TWRCC,ZZRKK,XZILY,HNPQZ,XKCQT,FLVAJ,AXXII,INMPE,VAWLT,EUYJN,QLCID,QOVFF,BUAFN,YARPL,WFVSS,EBSFR,test,AJFHJ,STLKB,677,FACAJ,GMFKA,MNPNM,VCUDI,EYZEF
Cecilia,50680,34650,"June 7th, 2016",1,2,82660806,10,5,11,43,0,09691,29306,53226,"March 29th, 2015","April 4th, 2019",39240,01729,55380,34640,90403,9,05594,VBZZH,HCUTA,DNNPT,VDAYA,QFRFR,CGPHR,EBJEV,IBWUL,GQLTS,DSIZV,DEFGX,GUBSW,ASFZW,CZUPM,WPLWG,3,XUVPU,LIZHH,DUOFM,RAJHE,VELBK,AAPXJ,UMKVC,WWRYV,LSSQK,QWWOQ,DWMCE,ZCRGF,VDEON,MCNPT,UPVVL,RDOHQ,WTYYH,HHWDN,RKGZR,GHWMP,JXNRY,BWUVY,FZORZ,VKZCF,AADHA,TWNRY,VGMBQ,ONOAS,WJOYM,TPDFW,FBCIA,TXPNY,FAJFW,AOUJE,TPWMB,TYYLU,NWBZD,IVMQC,NAKQM,KGXYN,YUFVJ,QHLGR,WLFYB,LGETO,JPPAL,,GLTDZ,KQORO,761,ZVSHW,DZIXK,TOLCH,JGPAP,WZHLG
Kim,00435,76235,"February 13th, 2015",1,10,72591075,10,1,15,15,41,45093,67589,00281,"September 12th, 2016","August 20th, 2016",85813,19323,20555,81909,46918,0,80852,QDTOW,KAJYQ,WYKYR,FMUVV,BXZZT,OASID,HIZIY,ZHOOP,FWAWP,SNYIF,EACQF,CZVYT,MWVAW,TSVHT,QJZQI,3,YAUCU,CREOM,PJNBL,LORCQ,WZDMB,HJELB,WCQEX,LGVHN,AWZDE,CATIL,INBNI,EIJCO,MVGKG,YHFHN,VHDXB,PFCTZ,NGMCF,NWYDW,DBJSM,VYOOJ,PYVBH,ZECLP,UDCTL,TRXQN,CQBUE,NNJQW,IFMJS,ZGFUG,XJFFO,PNHDL,UDCUB,AYPZL,QWUER,TNCCO,WHJKT,QLEKJ,PKYNN,VONLY,LMZGX,QEEMD,CEZIH,JORUP,GOBPS,TZEGV,GLFML,violet,PJCQI,SHTEO,242,LTGPX,WHMRO,ONACY,UMEVG,JBJUZ
Merritt,40098,46495,"October 6th, 2017",1,6,51531487,26,0,16,48,47,20104,00855,10314,"December 3rd, 2017","February 3rd, 2016",26645,92425,73983,63499,44566,6,75826,JNMNF,TAWHK,NYUYQ,KEVYV,BAEIE,FZGPG,KPTJP,GZUEH,XJCKE,KSQNX,QEDBU,ENZFB,GJXMB,MWYQY,UECHJ,7,QJECS,OOCBO,SNIPC,BVEUL,HYJXW,MCPFK,IIJLC,JKWBB,ZHZKF,MTPSG,TTIWJ,LGPMP,YAHUW,HOYVM,XPHER,DCZTP,NKBEV,FPHSP,PXUFM,MCIYJ,VOXND,YOMZO,ABABX,PYBZK,ANAPE,NCSAR,ADBDA,UJQWW,GHBBZ,EJESV,LVSJR,AMUTE,WSTLK,EMUMW,PGDXK,ESDYA,SWMPH,LAFTU,VLWVO,KZOLE,WDRCM,LNWHR,DASXS,JBZVQ,XQOOC,test,TVKGQ,HPPSX,446,IZZIP,AVMAQ,HYWZW,PUEUO,DOVIM
Orlando,25973,23418,"September 17th, 2019",1,0,69652799,38,2,14,46,18,51625,53162,40453,"July 30th, 2018","November 28th, 2018",26887,83469,54526,25649,11213,0,92446,KYKFN,AKGMV,CPAAR,TONXS,LJRQM,SJWYA,AWPFG,MABJH,KCWDZ,ZQIAZ,ZFSBT,GMQSP,GZKIG,HZIBN,DKMGH,1,WUSJV,RMQIQ,BEBTQ,AKULO,AJNYB,LIVOG,AABKF,VIFIT,OSRXS,RICDM,ZTWKT,KGRET,VVBLA,DJYMP,EFCQG,UDJRH,YUFDJ,JMSGN,MEHGJ,LTPLM,UCAJV,DMLPR,XRIET,TAGJY,AOFSV,GYVPB,FBDTI,FBSZC,VPXIW,IWRTQ,FCRQP,OAQRG,ETRFA,PAOKN,VJZUT,LFCXF,PXBRV,WOPWV,QTQAS,CTMKJ,WQRQQ,ZYKYD,VHVTW,JYQQX,BYHIM,test,TSORN,QXLRL,708,RFLLX,QVORC,RBPTY,PMNUU,FELYK
Melissa,43934,15437,"September 13th, 2015",0,10,43526491,39,5,16,49,18,20761,36837,16334,"May 9th, 2019","September 23rd, 2015",55690,66786,67680,03277,77658,0,45698,REAHM,KPSCT,KXUEV,CSALF,UWYWG,DCBUI,TMVUB,IGDIH,TWJDK,LJTPI,RCFLT,VEKVA,ATWCF,DXNBR,IVPMR,3,FTRFE,PSHPO,MAKVQ,VZCVX,OVOZZ,MXWFL,MWVCG,UDCKN,MUHKN,ALYSI,GTDGO,KLOPY,SCBDR,EWBDJ,XBJIL,XRQSH,XJVTN,UBJFK,EZZYK,ZBTTG,YFLRU,VQSEY,GXCYY,MTLIW,GCZTR,ALKPA,GBGBU,DLDNZ,PTIBZ,HBFVQ,YMAOP,DBVGG,KUNZQ,JHFAM,NDOHV,GKPUT,GTDOM,WAXHK,XHPGC,PSQYS,WLADL,PTVXK,JHSWV,XGYLU,HVNBX,violet,UKNVV,EDFCF,026,RXSYJ,KFAIE,ALNAH,JDHUD,UMRTG
Hammett,59508,62298,"June 30th, 2018",1,8,16153308,32,10,10,15,36,34957,74391,21283,"September 3rd, 2017","June 7th, 2018",43247,47902,20164,99505,08882,2,33350,VECCN,ZHSHA,MLXTH,AVHZI,YCXQP,JPDNB,BECAD,WKJKW,IBICX,KYKTS,AVIWG,GBAFL,UPJMP,BMULT,DKCBI,4,CYMBM,VBCQQ,UWHEH,ZGAZY,YGHRA,XPUMA,SPGJC,RQDKU,XMYWW,JVUMM,CUXOO,BJATQ,PLBHR,COQEV,AMWRD,FGSXZ,UBADU,NVZDY,OZLDA,MTVXE,UMGMH,MIEWB,JIPUD,EUTQX,WSUAF,EXWDZ,RKNOE,LMLNX,LZFAX,NIXWK,JGLWE,CKLST,KWYXM,CROOV,RBNBR,FLYTB,IHTQZ,CWBPH,ZMMQH,JXOIA,BCXNA,NNHVM,HLSZB,XVQWT,CAFSE,test,IMQTF,ZZLHL,014,AOCQU,HXFPP,OIKPQ,BGGEN,KJPFZ
Arden,08965,05774,"April 17th, 2017",1,8,06058048,40,5,17,20,27,30933,66015,30871,"September 10th, 2017","September 21st, 2018",75163,76198,91467,77362,98951,8,05960,VBITI,ZUBVM,WPYRL,KDAZD,WRUSQ,LMCXL,FSSRQ,WVLWM,JPOPJ,JUFDR,NCATW,ELOJP,BGNSU,YPPDA,IAXHK,7,JRKLI,MHTCW,HGUZC,PBWLZ,NISJW,NDPRR,BJYYG,LSUSI,MMRKK,NAMID,CVHEK,BGJGS,JVNBP,XYCKZ,IIFBP,TKBLU,JHLOI,GWEJF,XUVVY,SDNYL,DBRMG,QEFRR,XYZBW,EBUQO,UMCPR,IZAZT,TVMMD,PRIAJ,PWVWS,WNUOE,UJKON,BPGHR,VPIOJ,WEMLF,QUNOJ,SVXHI,NLQGZ,TQMVP,KSAWQ,IVJDS,XGBDR,TMKHD,CLWWA,SHLZQ,UCFFY,orange,GEUUZ,PXDDF,132,RDHYH,BSBDY,NIJPI,QBAAL,WGPCU
Steel,51882,71194,"April 27th, 2015",1,3,91538061,1,6,18,45,43,87498,08780,24604,"November 20th, 2016","September 26th, 2018",02939,77026,71984,73039,58307,0,41976,WQMPZ,AQNRH,INNKX,JKFJQ,SHNRH,GVKMN,IUHGJ,SXIJD,WDBLF,UVJHP,ZRISP,ZPMLV,NWPUL,ZNGFC,QYUKQ,1,KOQCN,MRVYS,OUBXG,IHWHE,TAYFN,DQQUJ,JRGVZ,CERFK,OWDHK,ENQLO,XLIIO,GUJJC,OCIAS,SFWHP,WNWLY,DYWOF,RAHUM,RKFCZ,WQXND,LXETZ,OEQWJ,URIAH,PFNRI,LRJAH,SZTKI,IDQWT,GJGGY,YYOOQ,OBIKF,PDUXD,WPMSU,ZHAFD,BIANX,GVECA,WVDDK,KBUNZ,PCQIW,ITDKG,NPOCH,BEUXJ,GUBTV,MULLH,LUPZC,DAUTV,ZTXJJ,test,SOFWP,EFIBN,791,SLYHN,VVHFW,UGCUW,KGGKX,LBCXZ
Jorden,21811,47768,"July 15th, 2019",0,4,95770832,31,4,10,14,34,70343,89156,02762,"March 24th, 2016","May 21st, 2016",71296,42833,92591,23996,01261,0,47385,USFFC,MLQRE,DHVAB,PIZJE,AWKWD,HOYLM,ZTUQX,IQCCL,WABGD,CBJPD,YGGMN,FBTSP,QPZZJ,DVHUG,QKDRJ,0,ZXLTW,AHOOD,KCQGR,VYMEG,HGDZN,CQTGC,QPTVF,BRWML,JFGWE,ESXIN,FGPZK,MVEJG,KQTTU,YXLHW,ZOJHR,TYPZJ,KNZKX,CLBUU,UPYQE,DHADM,DYGTF,RTGGP,OJMCJ,RHEOW,YLCKS,FTENE,QXLIY,JLRMN,GXOSJ,GOPYO,TVZFH,ROIVD,KRSGG,BYVBH,ZQNIS,WKRZP,FLVAQ,SHFPV,TILNR,TLLYC,MGOGE,LIGTP,HWEHP,TMIND,VYSBJ,test,PVKNK,OVOXZ,573,HDQKM,IIDDT,JANEK,QUYPB,YKNMV
Dora,53264,81753,"December 28th, 2019",0,7,25679669,46,2,10,23,32,32331,71251,68326,"March 22nd, 2016","July 11th, 2017",14031,49669,38232,48089,87475,8,42640,NEFKT,ZPGCM,LFFYY,YIPZJ,GBUPQ,OZCKO,TROAU,FDXKQ,DXDMF,AYAWS,RKBCZ,LAGSS,XFJVY,LOIVJ,LKZEP,9,IGHPA,UVQGH,YKIVQ,JWZRL,KBIDH,IERSV,ZHEFW,IGACQ,VYPFJ,CUKNI,GAJPW,NKODN,OYTXV,NDQKP,YSUVE,SDNFB,JGOXC,JFQLF,QLMFW,DVQRO,KULZB,WFMPO,ADCMN,OGUFX,MNDNZ,CUMLX,ROPRK,JAIBM,YSTDI,MFYNE,VOICG,MMVNR,IMPEE,CNJDM,JCZEK,RIEYL,GZJOP,XWROP,GCEMM,GEEWP,JDAGK,KTTUU,LJDLD,FRZCV,BMKSR,orange,VCOQA,NMRCU,817,FESWM,WHDII,RGCSG,RXMWR,EYLQB
